Team,TeamName,TeamNameAlt1,Color1,Color2,Color3
ARS,Arsenal,Arsenal,#EF0107,#023474,#9C824A
BHA,Brighton and Hove Albion,Brighton and Hove Albion,#0054A6,,
BOU,Bournemouth,Bournemouth,#E62333,#000000,
BRN,Burnley FC,Burnley,#53162F,#8CCCE5,#F9EC34
CHE,Chelsea,Chelsea,#034694,#DBA111,#ED1C24
CRY,Crystal Palace,Crystal Palace,#1B458F,#C4122E,#A7A5A6
EVE,Everton,Everton,#274488,,
HUD,Huddersfield Town,Huddersfield Town,#F5A12D,#000000,
LEI,Leicester City,Leicester City,#0053A0,#FDBE11,
LIV,Liverpool,Liverpool,#D00027,#00A398,#FEF667
MCI,Man. City,Manchester City,#98C5E9,#00285E,#F4BC46
MUN,Man United,Manchester Utd,#DA020E,#FFE500,#000000
NEW,Newcastle,Newcastle,#000000,,
SOU,Southampton,Southampton,#ED1A3B,#211E1F,#FFC20E
STK,Stoke City,Stoke City,#E03A3E,#1B449C,
SWA,Swansea City,Swansea,#FFFFFF,#000000,
TOT,Tottenham,Tottenham,#FFFFFF,#001C58,
WAT,Watford,Watford,#FBEE23,#ED2127,#00000
WHU,West Ham,West Ham,#60223B,#F7C240,#5299C6
